,PROJ DESC,LOCATION,EST VALUE IN RANGE,PERMIT ISSUED,DESC OF WORK LINE 1,DESC OF WORK LINE 2,PARCEL ID,lat,long
358,RESIDENTIAL SINGLE FAMILY,90 DAURIAN DR,"128,645",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 2,XX121H  002,33.9319486,-83.6259438
359,RESIDENTIAL SINGLE FAMILY,228 DAURIAN DR,"128,645",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 7,XX121H  007,33.9319486,-83.6259438
360,RESIDENTIAL SINGLE FAMILY,293 DAURIAN DR,"128,645",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 217,XX121H  217,33.9319486,-83.6259438
361,RESIDENTIAL SINGLE FAMILY,441 CONDOR CT,"128,645",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 151,XX121H  151,33.9321802,-83.6247577
362,RESIDENTIAL SINGLE FAMILY,484 CARL CEDAR HILL RD,"128,425",6/2/23,SINGLE FAMIILY HOME,LOG CABIN KIT,XX049  247A,34.0179404,-83.7729615
363,RESIDENTIAL SINGLE FAMILY,1457 HARMONY GROVE CH RD,"127,820",1/30/24,SINGLE FAMILY HOME,,XX029  032,34.037003,-83.833541
510,RESIDENTIAL SINGLE FAMILY,148 MEAGAN ST,"118,250",7/25/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 70,XX137D  070,33.9882356,-83.55405693
375,RESIDENTIAL SINGLE FAMILY,157 MEAGAN ST,"126,500",8/8/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 83,XX137D  083,33.98894136,-83.55296374
395,RESIDENTIAL SINGLE FAMILY,16 MEAGAN ST,"126,500",3/7/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 65,XX137D  065,33.9863303,-83.55348498
575,RESIDENTIAL SINGLE FAMILY,1775 HIGHWAY 82,"110,000",1/12/23,SINGLE FAMILY HOME,,XX125  017,34.00135697,-83.5926255
368,RESIDENTIAL SINGLE FAMILY,1056 PHILLIPS RD,"126,555",9/18/23,SINGLE FAMILY HOME,,XX100  006A,33.9272821,-83.6864279
369,RESIDENTIAL SINGLE FAMILY,86 MULBERRY GROVE DR,"126,500",6/29/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 4,XX056C  004,34.0555092,-83.733091
370,RESIDENTIAL SINGLE FAMILY,118 MULBERRY GROVE DR,"126,500",6/29/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 5,XX056C  005,34.0553012,-83.733522
461,RESIDENTIAL SINGLE FAMILY,18 FEENEY ST,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 53  PHASE 1A,XX053R  053,33.93978341,-83.79590429
372,RESIDENTIAL SINGLE FAMILY,185 MEAGAN ST,"126,500",7/25/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 82,XX137D  082,33.9883236,-83.5531269
436,RESIDENTIAL SINGLE FAMILY,182 DOOLEY DR,"123,640",12/18/23,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 18,XX120A  018,33.94610017,-83.60270283
364,RESIDENTIAL SINGLE FAMILY,20 ELMARRY LANE,"127,545",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 2  PHASE 1A,XX053R  002,33.93862065,-83.7982309
536,RESIDENTIAL SINGLE FAMILY,22 NATIVITY COVE,"115,665",10/24/23,SINGLE FAMILY HOME,SHEPARDS WALK  LOT 36,BE04A  036,33.98746026,-83.55237427
376,RESIDENTIAL SINGLE FAMILY,178 DOVE FIELD DR,"126,500",8/15/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 66,XX133A  066,33.9576211,-83.5739674
377,RESIDENTIAL SINGLE FAMILY,209 DOVE FIELD DR,"126,500",8/15/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 85,XX133A  085,33.9576211,-83.5739674
378,RESIDENTIAL SINGLE FAMILY,189 DOVE FIELD DR,"126,500",8/15/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 86,XX133A  086,33.9576211,-83.5739674
379,RESIDENTIAL SINGLE FAMILY,169 DOVE FIELD DR,"126,500",8/15/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 87,XX133A  087,33.9576211,-83.5739674
380,RESIDENTIAL SINGLE FAMILY,139 DOVE FIELD DR,"126,500",8/15/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 89,XX133A  089,33.9571552,-83.5740141
381,RESIDENTIAL SINGLE FAMILY,121 DOVE FIELD DR,"126,500",8/15/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 90,XX133A  090,33.9571552,-83.5740141
382,RESIDENTIAL SINGLE FAMILY,105 DOVE FIELD DR,"126,500",8/15/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 91,XX133A  091,33.9571552,-83.5740141
167,RESIDENTIAL SINGLE FAMILY,243 BLAKE LANE,"154,110",2/13/24,SINGLE FAMILY HOME,AMELIA ACRES  LOT 4,XX049K  004,34.02617746,-83.77795113
384,RESIDENTIAL SINGLE FAMILY,504 MULBERRY GROVE DR,"126,500",11/7/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 16,XX056C  016,34.0540679,-83.733958
385,RESIDENTIAL SINGLE FAMILY,134 SHALLOW WAY,"126,500",11/7/23,SINGLE FAMILY HOME,SHADOW BROOK  LOT 15,XX107G  015,33.952595,-83.641739
386,RESIDENTIAL SINGLE FAMILY,14 MULBERRY RD,"126,500",11/17/23,SINGLE FAMILY HOME,,XX057B 046,34.045111,-83.718112
387,RESIDENTIAL SINGLE FAMILY,220 MULBERRY GROVE DR,"126,500",12/18/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 9,XX056C  009,34.0556859,-83.7351821
388,RESIDENTIAL SINGLE FAMILY,320 MULBERRY GROVE DR,"126,500",12/18/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 11,XX056C  011,34.0550231,-83.7361338
389,RESIDENTIAL SINGLE FAMILY,430 MULBERRY GROVE DR,"126,500",1/16/24,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 13,XX056C  013,34.0543385,-83.7351644
390,RESIDENTIAL SINGLE FAMILY,478 MULBERRY GROVE DR,"126,500",1/16/24,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 15,XX056C  015,34.0541656,-83.7343813
391,RESIDENTIAL SINGLE FAMILY,44 MULBERRY GROVE DR,"126,500",2/8/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 2,XX056C  002,34.0560519,-83.7328179
392,RESIDENTIAL SINGLE FAMILY,59 MULBERRY GROVE DR,"126,500",2/8/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 36,XX056C  036,34.0558448,-83.7329211
393,RESIDENTIAL SINGLE FAMILY,19 MULBERRY GROVE DR,"126,500",2/8/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 38,XX056C  038,34.0563541,-83.7326413
462,RESIDENTIAL SINGLE FAMILY,26 FEENEY ST,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 54  PHASE 1A,XX053R  054,33.93971596,-83.79654439
106,RESIDENTIAL SINGLE FAMILY,262 BLAKE LANE,"185,295",2/13/24,SINGLE FAMILY HOME,AMELIA ACRES  LOT 7,XX049K  007,34.02466499,-83.777878
396,RESIDENTIAL SINGLE FAMILY,61 KINSLEY WAY,"126,500",3/7/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 89,XX137D  089,33.9851051,-83.5567755
397,RESIDENTIAL SINGLE FAMILY,514 JONES RD,"126,500",3/28/23,SINGLE FAMILY HOME,,XX124  068,34.0189724,-83.5721499
398,RESIDENTIAL SINGLE FAMILY,218 WINDROW TRAIL,"126,500",3/30/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 38,XX133A  038,33.9612245,-83.573799
399,RESIDENTIAL SINGLE FAMILY,47 ABEL LANE,"126,500",3/30/23,SINGLE FAMILY HOME,SPRINGSIDE MEADOWS  LOT 53,XX133A  053,33.9615453,-83.5731864
400,RESIDENTIAL SINGLE FAMILY,168 MULBERRY GROVE DR,"126,500",6/27/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 7,XX056C  007,34.0554906,-83.7343355
401,RESIDENTIAL SINGLE FAMILY,205 MULBERRY GROVE DR,"126,500",6/27/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 32,XX056C  032,34.0556337,-83.7349541
402,RESIDENTIAL SINGLE FAMILY,151 MULBERRY GROVE DR,"126,500",6/27/23,SINGLE FAMILY HOME,MULBERRY GROVE  LOT 34,XX056C  034,34.0554301,-83.7340751
403,RESIDENTIAL SINGLE FAMILY,295 FINCH COURT,"126,390",12/12/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 35,XX111P  035,34.0333858,-83.6203358
404,RESIDENTIAL SINGLE FAMILY,197 RICHMOND DR,"126,005",7/6/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 23,XX120B  023,33.949949,-83.6000924
405,RESIDENTIAL SINGLE FAMILY,155 RICHMOND DR,"126,005",7/6/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 26,XX120B  026,33.9497606,-83.6007565
406,RESIDENTIAL SINGLE FAMILY,339 TANGLEWOOD RD,"126,005",12/14/23,SINGLE FAMILY HOME,,XX010B 043,34.0195132,-83.8560207
407,RESIDENTIAL SINGLE FAMILY,107 RICHMOND CIRCLE,"126,005",5/17/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 34,XX120B  034,33.9482283,-83.6008355
408,RESIDENTIAL SINGLE FAMILY,1090 LYNDHURST LANE,"125,675",3/2/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 76,XX053L  202,33.9318421,-83.7949909
409,RESIDENTIAL SINGLE FAMILY,345 HYDE PARK,"124,960",6/30/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 86,XX049J  086,34.015666,-83.753708
410,RESIDENTIAL SINGLE FAMILY,344 HYDE PARK,"124,960",6/30/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 89,XX049J  089,34.0160989,-83.753164
411,RESIDENTIAL SINGLE FAMILY,751 KNIGHTSBRIDGE LANE,"124,960",7/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 138,XX049J  138,34.016285,-83.7573187
412,RESIDENTIAL SINGLE FAMILY,779 KNIGHTSBRIDGE LANE,"124,960",7/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 142,XX049J  142,34.016285,-83.7573187
413,RESIDENTIAL SINGLE FAMILY,770 KNIGHTSBRIDGE LANE,"124,960",7/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 145,XX049J  145,34.016285,-83.7573188
197,RESIDENTIAL SINGLE FAMILY,267 BLAKE LANE,"146,960",2/13/24,SINGLE FAMILY HOME,AMELIA ACRES  LOT 5,XX049K  005,34.02527155,-83.77907864
415,RESIDENTIAL SINGLE FAMILY,203 HYDE PARK,"124,960",3/2/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 71,XX049J  071,34.017494,-83.755182
