,PROJ DESC,LOCATION,EST VALUE IN RANGE,PERMIT ISSUED,DESC OF WORK LINE 1,DESC OF WORK LINE 2,PARCEL ID,lat,long
596,RESIDENTIAL SINGLE FAMILY,14 LIBERTY COURT,"99,550",6/12/23,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 39,XX107E  148,33.9647802,-83.6700406
597,RESIDENTIAL SINGLE FAMILY,763 KNIGHTSBRIDGE LANE,"99,055",7/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 139,XX049J  139,34.016285,-83.7573187
598,RESIDENTIAL SINGLE FAMILY,677 KNIGHTSBRIDGE LANE,"99,055",2/21/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 132,XX049J  132,34.018333,-83.757336
599,RESIDENTIAL SINGLE FAMILY,721 KNIGHTSBRIDGE LANE,"99,055",2/21/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 136,XX049J  136,34.016285,-83.7573187
600,RESIDENTIAL SINGLE FAMILY,233 HYDE PARK,"99,055",3/29/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 74,XX049J  074,34.017164,-83.754903
601,RESIDENTIAL SINGLE FAMILY,263 HYDE PARK,"99,055",4/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 77,XX049J  077,34.016834,-83.754623
602,RESIDENTIAL SINGLE FAMILY,300 HYDE PARK,"99,055",6/1/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 94,XX049J  094,34.016683,-83.753741
502,RESIDENTIAL SINGLE FAMILY,99 DOOLEY DR,"119,020",4/6/23,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 7,XX120A  007,33.94699579,-83.6029272
604,RESIDENTIAL SINGLE FAMILY,1047 DAURIAN DR,"97,570",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 190,XX121H  190,33.9348065,-83.6281948
605,RESIDENTIAL SINGLE FAMILY,931 DAURIAN DR,"97,570",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 195,XX121H  195,33.9348065,-83.6281948
606,RESIDENTIAL SINGLE FAMILY,837 DAURIAN DR,"97,570",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 199,XX121H  199,33.9348065,-83.6281948
607,RESIDENTIAL SINGLE FAMILY,117 CONDOR CT,"97,570",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 173,XX121H  173,33.9336016,-83.6266406
608,RESIDENTIAL SINGLE FAMILY,73 CONDOR CT,"97,570",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 177,XX121H  177,33.9337027,-83.6265149
609,RESIDENTIAL SINGLE FAMILY,17 CONDOR CT,"97,570",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 183,XX121H  183,33.9321802,-83.6247577
610,RESIDENTIAL SINGLE FAMILY,1181 DAURIAN DR,"97,570",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 186,XX121H  186,33.9348065,-83.6281948
611,RESIDENTIAL SINGLE FAMILY,1108 DAURIAN DR,"97,570",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 35,XX121H  035,33.9348065,-83.6281948
612,RESIDENTIAL SINGLE FAMILY,1218 DAURIAN DR,"97,570",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 40,XX121H  040,33.9348065,-83.6281948
613,RESIDENTIAL SINGLE FAMILY,756 KNIGHTSBRIDGE LANE,"96,855",8/28/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 147,XX049J  147,34.016285,-83.7573188
614,RESIDENTIAL SINGLE FAMILY,26 KNIGHTSBRIDGE LANE,"96,855",8/28/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 213,XX049J  213,34.015634,-83.757791
615,RESIDENTIAL SINGLE FAMILY,184 HYDE PARK,"96,855",2/21/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 106,XX049J  106,34.018032,-83.754927
616,RESIDENTIAL SINGLE FAMILY,210 HYDE PARK,"96,855",3/29/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 103,XX049J  103,34.017673,-83.75458
617,RESIDENTIAL SINGLE FAMILY,280 HYDE PARK,"96,855",4/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 96,XX049J  096,34.016903,-83.753927
618,RESIDENTIAL SINGLE FAMILY,1301 JEANNINE LANE,"96,800",1/8/24,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 27,XX107E  136,33.9654554,-83.6706579
619,RESIDENTIAL SINGLE FAMILY,1302 JEANNINE LANE,"96,800",1/8/24,SINGLE FAMILY HOME,HEARTLAND RETIREMENT  LOT 30,XX107E  139,33.9654554,-83.6706579
620,RESIDENTIAL SINGLE FAMILY,1021 DAURIAN DR,"94,270",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 191,XX121H  191,33.9348065,-83.6281948
621,RESIDENTIAL SINGLE FAMILY,977 DAURIAN DR,"94,270",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 193,XX121H  193,33.9348065,-83.6281948
622,RESIDENTIAL SINGLE FAMILY,885 DAURIAN DR,"94,270",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 197,XX121H  197,33.9348065,-83.6281948
623,RESIDENTIAL SINGLE FAMILY,139 CONDOR CT,"94,270",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 171,XX121H  171,33.9337027,-83.6265149
624,RESIDENTIAL SINGLE FAMILY,95 CONDOR CT,"94,270",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 175,XX121H  175,33.9337027,-83.6265149
625,RESIDENTIAL SINGLE FAMILY,53 CONDOR CT,"94,270",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 179,XX121H  179,33.9337027,-83.6265149
626,RESIDENTIAL SINGLE FAMILY,39 CONDOR CT,"94,270",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 181,XX121H  181,33.9337027,-83.6265149
627,RESIDENTIAL SINGLE FAMILY,1229 DAURIAN DR,"94,270",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 184,XX121H  184,33.9348065,-83.6281948
628,RESIDENTIAL SINGLE FAMILY,1161 DAURIAN DR,"94,270",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 187,XX121H  187,33.9348065,-83.6281948
629,RESIDENTIAL SINGLE FAMILY,1068 DAURIAN DR,"94,270",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 33,XX121H  033,33.9348065,-83.6281948
630,RESIDENTIAL SINGLE FAMILY,1130 DAURIAN DR,"94,270",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 36,XX121H  036,33.9348065,-83.6281948
631,RESIDENTIAL SINGLE FAMILY,1176 DAURIAN DR,"94,270",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 38,XX121H  038,33.9348065,-83.6281948
632,RESIDENTIAL SINGLE FAMILY,427 BLUEBERRY LN,"93,500",8/8/23,SINGLE FAMILY HOME,,XX090  054,33.9814367,-83.6877453
633,RESIDENTIAL SINGLE FAMILY,1020 EDGEWATER LN,"88,000",8/31/23,SINGLE FAMILY HOME,EDGEWATER LOT 12,XX027A 012,34.055903,-83.83623
634,RESIDENTIAL SINGLE FAMILY,856 CITY POND RD,"88,000",12/12/23,SINGLE FAMILY BARNDOMINIUM,,XX060  008B,34.018534,-83.7419772
635,RESIDENTIAL SINGLE FAMILY,381 CHANDLER RD,"82,500",1/13/23,SINGLE FAMILY HOME,,XX042  005A,33.9763502,-83.8168273
636,RESIDENTIAL SINGLE FAMILY,61 RYDAL WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 147,XX072C  147,33.9534894,-83.7511527
637,RESIDENTIAL SINGLE FAMILY,63 RYDAL WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 148,XX072C  148,33.9534395,-83.7511938
638,RESIDENTIAL SINGLE FAMILY,65 RYDAL WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 149,XX072C  149,33.9533897,-83.7512348
639,RESIDENTIAL SINGLE FAMILY,67 RYDAL WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 150,XX072C  150,33.9533398,-83.7512758
640,RESIDENTIAL SINGLE FAMILY,69 RYDAL WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 151,XX072C  151,33.9532899,-83.7513169
641,RESIDENTIAL SINGLE FAMILY,21 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 155,XX072C  155,33.9530694,-83.7519514
642,RESIDENTIAL SINGLE FAMILY,23 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 156,XX072C  156,33.9531201,-83.751912
643,RESIDENTIAL SINGLE FAMILY,25 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 157,XX072C  157,33.95317,-83.7518709
644,RESIDENTIAL SINGLE FAMILY,27 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 158,XX072C  158,33.9532198,-83.7518299
645,RESIDENTIAL SINGLE FAMILY,29 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 159,XX072C  159,33.9532697,-83.7517889
646,RESIDENTIAL SINGLE FAMILY,31 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 160,XX072C  160,33.9533196,-83.7517478
647,RESIDENTIAL SINGLE FAMILY,30 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 189,XX072C  189,33.9535094,-83.75208
648,RESIDENTIAL SINGLE FAMILY,28 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 190,XX072C  190,33.9534596,-83.752121
649,RESIDENTIAL SINGLE FAMILY,26 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 191,XX072C  191,33.9534097,-83.7521621
650,RESIDENTIAL SINGLE FAMILY,24 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 192,XX072C  192,33.9533598,-83.7522031
651,RESIDENTIAL SINGLE FAMILY,22 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 193,XX072C  193,33.9533094,-83.7522431
652,RESIDENTIAL SINGLE FAMILY,20 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 194,XX072C  194,33.9532565,-83.7522788
653,RESIDENTIAL SINGLE FAMILY,18 THETFORD WAY,"78,155",7/26/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 195,XX072C  195,33.9532035,-83.7523144
654,RESIDENTIAL SINGLE FAMILY,66 THETFORD WAY,"78,155",1/11/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 183,XX072C  183,33.9538561,-83.7517946
655,RESIDENTIAL SINGLE FAMILY,64 THETFORD WAY,"78,155",1/11/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 184,XX072C  184,33.9538063,-83.7518356
656,RESIDENTIAL SINGLE FAMILY,62 THETFORD WAY,"78,155",1/11/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 185,XX072C  185,33.9537564,-83.7518767
657,RESIDENTIAL SINGLE FAMILY,60 THETFORD WAY,"78,155",1/11/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 186,XX072C  186,33.9537066,-83.7519177
658,RESIDENTIAL SINGLE FAMILY,58 THETFORD WAY,"78,155",1/11/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 187,XX072C  187,33.9536567,-83.7519587
659,RESIDENTIAL SINGLE FAMILY,56 THETFORD WAY,"78,155",1/11/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 188,XX072C  188,33.9536069,-83.7519998
660,RESIDENTIAL SINGLE FAMILY,55 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 161,XX072C  161,33.953417,-83.7516676
661,RESIDENTIAL SINGLE FAMILY,57 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK LOT 162,XX072C  162,33.9534669,-83.7516265
662,RESIDENTIAL SINGLE FAMILY,59 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 163,XX072C  163,33.9535167,-83.7515855
663,RESIDENTIAL SINGLE FAMILY,61 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 164,XX072C  164,33.9535666,-83.7515445
664,RESIDENTIAL SINGLE FAMILY,63 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 165,XX072C  165,33.9536164,-83.7515034
665,RESIDENTIAL SINGLE FAMILY,65 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 166,XX072C  166,33.9536663,-83.7514624
666,RESIDENTIAL SINGLE FAMILY,93 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 167,XX072C  167,33.9537638,-83.7513821
667,RESIDENTIAL SINGLE FAMILY,95 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 168,XX072C  168,33.9538136,-83.7513411
668,RESIDENTIAL SINGLE FAMILY,97 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 169,XX072C  169,33.9538635,-83.7513001
669,RESIDENTIAL SINGLE FAMILY,99 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 170,XX072C  170,33.9539133,-83.751259
670,RESIDENTIAL SINGLE FAMILY,101 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 171,XX072C  171,33.9539632,-83.751218
671,RESIDENTIAL SINGLE FAMILY,103 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 172,XX072C  172,33.954013,-83.7511769
672,RESIDENTIAL SINGLE FAMILY,105 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 173,XX072C  173,33.9540629,-83.7511359
673,RESIDENTIAL SINGLE FAMILY,107 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 174,XX072C  174,33.9541075,-83.7510856
674,RESIDENTIAL SINGLE FAMILY,108 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 175,XX072C  175,33.9543026,-83.7514271
675,RESIDENTIAL SINGLE FAMILY,106 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 176,XX072C  176,33.9542527,-83.7514681
676,RESIDENTIAL SINGLE FAMILY,104 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 177,XX072C  177,33.9542029,-83.7515091
677,RESIDENTIAL SINGLE FAMILY,102 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 178,XX072C  178,33.954153,-83.7515502
678,RESIDENTIAL SINGLE FAMILY,100 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 179,XX072C  179,33.9541031,-83.7515912
679,RESIDENTIAL SINGLE FAMILY,98 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 180,XX072C  180,33.9540533,-83.7516323
680,RESIDENTIAL SINGLE FAMILY,96 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 181,XX072C  181,33.9540034,-83.7516733
681,RESIDENTIAL SINGLE FAMILY,94 THETFORD WAY,"78,155",1/31/24,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 182,XX072C  182,33.9539536,-83.7517144
682,RESIDENTIAL SINGLE FAMILY,31 RYDAL WAY,"78,155",3/24/23,RIVINGTON WALK  LOT 139,,XX072C  139,33.9539358,-83.7507852
683,RESIDENTIAL SINGLE FAMILY,33 RYDAL WAY,"78,155",3/24/23,RIVINGTON WALK  LOT 140,,XX072C  140,33.953886,-83.7508262
684,RESIDENTIAL SINGLE FAMILY,35 RYDAL WAY,"78,155",3/24/23,RIVINGTON WALK  LOT 141,,XX072C  141,33.9538361,-83.7508673
685,RESIDENTIAL SINGLE FAMILY,37 RYDAL WAY,"78,155",3/24/23,RIVINGTON WALK  LOT 142,,XX072C  142,33.9537862,-83.7509083
686,RESIDENTIAL SINGLE FAMILY,39 RYDAL WAY,"78,155",3/24/23,RIVINGTON WALK  LOT 143,,XX072C  143,33.9537364,-83.7509493
687,RESIDENTIAL SINGLE FAMILY,41 RYDAL WAY,"78,155",3/24/23,RIVINGTON WALK  LOT 144,,XX072C  144,33.9536865,-83.7509904
688,RESIDENTIAL SINGLE FAMILY,43 RYDAL WAY,"78,155",3/24/23,RIVINGTON WALK  LOT 145,,XX072C  145,33.9536367,-83.7510314
689,RESIDENTIAL SINGLE FAMILY,45 RYDAL WAY,"78,155",3/24/23,RIVINGTON WALK  LOT 146,,XX072C  146,33.9535868,-83.7510725
690,RESIDENTIAL SINGLE FAMILY,99 RYDAL WAY,"78,155",3/24/23,RIVINGTON WALK  LOT 152,,XX072C  152,33.9531925,-83.7513971
691,RESIDENTIAL SINGLE FAMILY,101 RYDAL WAY,"78,155",3/24/23,RIVINGTON WALK  LOT 153,,XX072C  153,33.9531427,-83.7514383
692,RESIDENTIAL SINGLE FAMILY,103 RYDAL WAY,"78,155",3/24/23,RIVINGTON WALK  LOT 154,,XX072C  154,33.9530955,-83.751484
693,RESIDENTIAL SINGLE FAMILY,30 KIELDER DR,"78,155",3/24/23,RIVINGTON WALK  LOT 127,,XX072C  127,33.953002,-83.75077
694,RESIDENTIAL SINGLE FAMILY,28 KIELDER DR,"78,155",3/24/23,RIVINGTON WALK  LOT 128,,XX072C  128,33.953035,-83.7508308
695,RESIDENTIAL SINGLE FAMILY,26 KIELDER DR,"78,155",3/24/23,RIVINGTON WALK  LOT 129,,XX072C  129,33.9530692,-83.7508906
696,RESIDENTIAL SINGLE FAMILY,24 KIELDER DR,"78,155",3/24/23,RIVINGTON WALK  LOT 130,,XX072C  130,33.9531034,-83.7509504
697,RESIDENTIAL SINGLE FAMILY,22 KIELDER DR,"78,155",3/24/23,RIVINGTON WALK  LOT 131,,XX072C  131,33.9531376,-83.7510103
698,RESIDENTIAL SINGLE FAMILY,148 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 107,XX072C  107,33.9528304,-83.75219
699,RESIDENTIAL SINGLE FAMILY,146 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 108,XX072C  108,33.952809,-83.7521221
700,RESIDENTIAL SINGLE FAMILY,144 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 109,XX072C  109,33.9527877,-83.7520542
701,RESIDENTIAL SINGLE FAMILY,142 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 110,XX072C  110,33.9527663,-83.7519864
702,RESIDENTIAL SINGLE FAMILY,138 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 112,XX072C  112,33.9527237,-83.7518506
703,RESIDENTIAL SINGLE FAMILY,116 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 113,XX072C  113,33.9527052,-83.7516715
704,RESIDENTIAL SINGLE FAMILY,114 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 114,XX072C  114,33.952714,-83.7515997
705,RESIDENTIAL SINGLE FAMILY,112 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 115,XX072C  115,33.9527248,-83.7515283
706,RESIDENTIAL SINGLE FAMILY,110 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 116,XX072C  116,33.9527387,-83.7514576
707,RESIDENTIAL SINGLE FAMILY,108 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 117,XX072C  117,33.9527573,-83.7513879
708,RESIDENTIAL SINGLE FAMILY,106 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 118,XX072C  118,33.9527814,-83.7513194
709,RESIDENTIAL SINGLE FAMILY,104 RYDAL WAY,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 119,XX072C  119,33.9528117,-83.7512523
710,RESIDENTIAL SINGLE FAMILY,29 KIELDER DR,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 120,XX072C  120,33.9527599,-83.7510618
711,RESIDENTIAL SINGLE FAMILY,31 KIELDER DR,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 121,XX072C  121,33.9527257,-83.7510019
712,RESIDENTIAL SINGLE FAMILY,33 KIELDER DR,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 122,XX072C  122,33.9526915,-83.7509421
713,RESIDENTIAL SINGLE FAMILY,35 KIELDER DR,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 123,XX072C  1213,33.9526573,-83.7508823
714,RESIDENTIAL SINGLE FAMILY,37 KIELDER DR,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 124,XX072C  124,33.9526231,-83.7508225
715,RESIDENTIAL SINGLE FAMILY,39 KIELDER DR,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 125,XX072C  125,33.9525889,-83.7507627
716,RESIDENTIAL SINGLE FAMILY,41 KIELDER DR,"78,155",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 126,XX072C  126,33.9525574,-83.7507006
717,RESIDENTIAL SINGLE FAMILY,152 RYDAL WAY,"78,100",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 105,XX072C  105,33.9528732,-83.7523257
718,RESIDENTIAL SINGLE FAMILY,150 RYDAL WAY,"78,100",4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 106,XX072C  106,33.9528518,-83.7522578
719,RESIDENTIAL SINGLE FAMILY,1267 BETHLEHEM RD,0,11/8/23,SINGLE FAMILY HOME,,XX119  023D,33.9473911,-83.6219632
720,RESIDENTIAL SINGLE FAMILY,563 HOYT KING RD,0,1/18/24,SINGLE FAMILY HOME,,XX053  080,33.9438599,-83.7652468
721,RESIDENTIAL SINGLE FAMILY,869 CHAMPAGNE LN,0,1/31/24,SINGLE FAMILY HOME,THE SPRINGS  LOT 65A,XX026G 065,34.072785,-83.803371
722,RESIDENTIAL SINGLE FAMILY,140 RYDAL WAY,0,4/3/23,SINGLE FAMILY HOME,RIVINGTON WALK  LOT 111,XX072C  111,33.9527449,-83.7519185
723,RESIDENTIAL SINGLE FAMILY,1655 THOMAS DR,0,5/25/23,SINGLE FAMILY HOME,,XX003  014,34.0637394,-83.8412842
